"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,001,266,202,009",2009,Fairfield,1942.63,1150,59198
"9,001,681,702,010",2010,Shelton,1317.02,521,39559
"9,005,864,402,004",2004,Winchester,2212.02,241,10895
"9,009,800,702,009",2009,Waterbury,5460.81,6010,110057
"9,011,523,502,000",2000,New London,4880.99,1253,25671
"9,007,473,602,010",2010,Middletown,2522.67,1202,47648
"9,005,795,102,009",2009,Warren,902.78,13,1440
"9,009,499,501,998",1998,Naugatuck,2113.65,655,30989
"9,007,816,802,007",2007,Westbrook,1290.04,87,6744
"9,005,679,602,006",2006,Sharon,630.25,18,2856
"9,003,276,002,009",2009,Farmington,2816.85,709,25170
"9,005,679,602,010",2010,Sharon,1186.2,33,2782
"9,015,867,902,004",2004,Windham,495.36,118,23821
"9,011,802,802,009",2009,Waterford,3357.12,654,19481
"9,001,505,802,010",2010,New Canaan,699.16,138,19738
"9,005,797,202,009",2009,Washington,418.99,15,3580
"9,003,370,702,010",2010,Hartford,5705.47,7119,124775
"9,001,834,302,007",2007,Weston,532.75,54,10136
"9,003,504,401,998",1998,New Britain,7048,5042,71538
"9,001,188,501,999",1999,Darien,1336.26,262,19607
"9,003,689,402,010",2010,Simsbury,799.63,188,23511
"9,001,486,202,002",2002,Monroe,995.18,192,19293
"9,001,681,702,006",2006,Shelton,1239.22,483,38976
"9,009,499,502,010",2010,Naugatuck,2083.99,664,31862
"9,011,299,102,009",2009,Franklin,1934.13,37,1913
"9,013,692,202,010",2010,Somers,934.99,107,11444
"9,003,870,002,004",2004,Windsor,2359.94,674,28560
"9,001,683,102,006",2006,Sherman,217.45,8,3679
"9,001,505,801,998",1998,New Canaan,1201.34,233,19395
"9,001,683,102,010",2010,Sherman,642.28,23,3581
"9,009,520,702,000",2000,New Haven,7902.06,9769,123626
"9,001,835,002,007",2007,Westport,1416.14,371,26198
"9,003,504,402,010",2010,New Britain,4589.79,3360,73206
"9,003,312,402,009",2009,Glastonbury,1170.55,400,34172
"9,003,371,402,003",2003,Hartland,783.16,16,2043
"9,003,870,702,004",2004,Windsor Locks,2102.25,257,12225
"9,003,689,402,006",2006,Simsbury,931.62,218,23400
"9,001,834,301,998",1998,Weston,896.68,90,10037
"9,003,713,902,010",2010,South Windsor,1602.55,412,25709
"9,001,508,601,998",1998,New Fairfield,523.18,73,13953
"9,003,849,002,007",2007,Wethersfield,2316.47,615,26549
"9,009,520,702,010",2010,New Haven,7142.91,9270,129779
"9,005,322,902,009",2009,Goshen,542.74,16,2948
"9,009,696,402,010",2010,Southbury,1095.26,218,19904
"9,005,513,502,000",2000,New Hartford,1166.23,71,6088
"9,013,692,202,006",2006,Somers,589.14,65,11033
"9,003,326,402,009",2009,Granby,1260.17,141,11189
"9,009,877,002,004",2004,Woodbridge,1413.31,127,8986
"9,009,875,602,004",2004,Wolcott,1639.14,259,15801
"9,005,513,501,998",1998,New Hartford,1511.17,92,6088
"9,003,825,902,009",2009,West Hartford,2819.91,1785,63300
"9,003,705,502,010",2010,Southington,1769.25,762,43069
"9,001,863,702,007",2007,Wilton,741.65,133,17933
"9,003,713,902,006",2006,South Windsor,1798.33,453,25190
