"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,009,875,602,007",2007,Wolcott,1945.69,316,16241
"9,001,529,801,998",1998,Newtown,1122.61,281,25031
"9,009,356,502,009",2009,Hamden,1958.55,1186,60555
"9,001,741,902,010",2010,Stratford,2619.49,1346,51384
"9,009,877,002,007",2007,Woodbridge,1246.11,112,8988
"9,003,689,402,000",2000,Simsbury,1024.36,238,23234
"9,001,505,802,000",2000,New Canaan,716.68,139,19395
"9,005,027,602,005",2005,Barkhamsted,,,3647
"9,015,734,202,006",2006,Sterling,847.94,30,3538
"9,015,405,002,002",2002,Killingly,1801.59,300,16652
"9,015,360,002,009",2009,Hampton,485.7,9,1853
"9,005,534,701,998",1998,Norfolk,1506.02,25,1660
"9,005,879,102,007",2007,Woodbury,810.92,79,9742
"9,011,737,702,006",2006,Stonington,2066.82,378,18289
"9,003,504,402,000",2000,New Britain,5044.87,3609,71538
"9,003,745,402,010",2010,Suffield,775.34,122,15735
"9,009,032,502,005",2005,Beacon Falls,,,5648
"9,003,849,002,009",2009,Wethersfield,1817.64,484,26628
"9,011,159,101,999",1999,Colchester,996.5,145,14551
"9,003,370,702,009",2009,Hartford,4972.88,6189,124455
"9,005,757,302,010",2010,Thomaston,1699,134,7887
"9,015,881,902,007",2007,Woodstock,232.53,18,7741
"9,009,538,901,998",1998,North Branford,1675.54,233,13906
"9,003,371,402,009",2009,Hartland,285.17,6,2104
"9,003,043,002,005",2005,Berlin,,,19041
"9,001,741,902,006",2006,Stratford,3032.21,1541,50821
"9,005,864,402,009",2009,Winchester,1922.39,215,11184
"9,001,835,002,009",2009,Westport,1302.84,343,26327
"9,011,339,001,999",1999,Griswold,897.57,97,10807
"9,013,010,802,008",2008,Andover,830.77,27,3250
"9,003,745,402,006",2006,Suffield,1143.86,170,14862
"9,005,540,301,998",1998,North Canaan,1880.6,63,3350
"9,015,758,702,010",2010,Thompson,740.11,70,9458
"9,009,045,802,005",2005,Bethany,,,5302
"9,009,875,602,009",2009,Wolcott,1590.66,263,16534
"9,015,867,902,009",2009,Windham,539.42,135,25027
"9,005,372,802,009",2009,Harwinton,909.74,51,5606
"9,013,762,902,010",2010,Tolland,385.33,58,15052
"9,009,012,202,008",2008,Ansonia,1826.27,349,19110
"9,005,757,302,006",2006,Thomaston,1900.94,147,7733
"9,013,379,102,009",2009,Hebron,522.03,50,9578
"9,009,548,701,998",1998,North Haven,2804.43,646,23035
"9,009,877,002,009",2009,Woodbridge,1601.96,144,8989
"9,005,402,902,002",2002,Kent,1596.11,46,2882
"9,003,870,702,009",2009,Windsor Locks,2368.91,295,12453
"9,005,765,702,010",2010,Torrington,2391.23,870,36383
"9,001,047,202,005",2005,Bethel,,,18326
"9,003,370,702,003",2003,Hartford,9044.62,11083,122537
"9,005,402,902,009",2009,Kent,1011.12,30,2967
"9,001,336,201,999",1999,Greenwich,1310.94,801,61101
"9,015,758,702,006",2006,Thompson,531.11,49,9226
"9,011,555,001,998",1998,North Stonington,1903.43,95,4991
"9,011,555,002,010",2010,North Stonington,1227.11,65,5297
"9,005,049,302,005",2005,Bethlehem,,,3515
"9,009,499,502,000",2000,Naugatuck,2032.98,630,30989
"9,015,014,302,008",2008,Ashford,561.67,24,4273
"9,003,059,102,005",2005,Bloomfield,,,20037
"9,009,538,902,000",2000,North Branford,1121.82,156,13906
"9,011,562,702,010",2010,Norwich,2397.95,971,40493
"9,015,405,002,009",2009,Killingly,1255.79,217,17280
"9,001,560,601,998",1998,Norwalk,4108.45,3408,82951
"9,005,027,602,008",2008,Barkhamsted,1070.09,40,3738
"9,005,765,702,006",2006,Torrington,2366.96,850,35911
"9,013,762,902,006",2006,Tolland,517.84,74,14290
"9,003,020,602,008",2008,Avon,765.09,135,17645
"9,001,772,002,010",2010,Trumbull,1937.92,698,36018
"9,013,062,602,005",2005,Bolton,,,4999
"9,005,540,302,010",2010,North Canaan,1176.47,39,3315
"9,003,870,002,009",2009,Windsor,1995.65,578,28963
"9,007,407,102,009",2009,Killingworth,432.5,28,6474
"9,009,032,502,008",2008,Beacon Falls,815.22,48,5888
"9,011,562,701,998",1998,Norwich,3895.67,1407,36117
"9,011,423,902,009",2009,Lebanon,784.26,57,7268
"9,013,778,302,010",2010,Union,468.38,4,854
"9,009,469,402,002",2002,Middlebury,988.62,66,6676
"9,005,797,202,003",2003,Washington,807.57,29,3591
"9,005,879,102,009",2009,Woodbury,535.52,53,9897
"9,015,881,902,009",2009,Woodstock,291.51,23,7890
"9,011,068,202,005",2005,Bozrah,,,2492
