"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,007,573,202,001",2001,Old Saybrook,2607.44,270,10355
"9,005,372,802,002",2002,Harwinton,915.03,49,5355
"9,005,607,502,002",2002,Plymouth,1862.88,219,11756
"9,013,692,202,003",2003,Somers,652.68,70,10725
"9,007,208,102,002",2002,Durham,678.57,46,6779
"9,003,371,402,002",2002,Hartland,147.64,3,2032
"9,007,222,802,003",2003,East Haddam,630.03,54,8571
"9,003,276,002,000",2000,Farmington,3092.09,731,23641
"9,011,570,402,001",2001,Old Lyme,1198.49,89,7426
"9,003,220,702,003",2003,East Granby,822.03,40,4866
"9,009,877,001,999",1999,Woodbridge,1658.69,149,8983
"9,015,610,302,003",2003,Pomfret,915.33,36,3933
"9,005,607,502,003",2003,Plymouth,2614.88,309,11817
"9,015,734,202,002",2002,Sterling,1386.75,45,3245
"9,003,370,702,002",2002,Hartford,7658.51,9360,122217
"9,009,195,502,002",2002,Derby,3081.73,385,12493
"9,007,191,302,000",2000,Deep River,1127.98,52,4610
"9,011,489,002,005",2005,Montville,,,19059
"9,011,562,702,001",2001,Norwich,3072.08,1123,36555
"9,001,266,202,000",2000,Fairfield,2251.48,1291,57340
"9,015,627,102,000",2000,Putnam,977.56,88,9002
"9,001,772,002,003",2003,Trumbull,2613.87,909,34776
"9,003,601,202,003",2003,Plainville,4075.9,711,17444
"9,009,499,502,005",2005,Naugatuck,,,31426
"9,007,262,702,000",2000,Essex,707.15,46,6505
"9,003,458,202,002",2002,Marlborough,974.69,57,5848
"9,005,494,602,005",2005,Morris,,,2345
"9,007,191,302,002",2002,Deep River,758.56,35,4614
"9,009,875,601,999",1999,Wolcott,1761.42,268,15215
"9,003,504,402,005",2005,New Britain,,,72372
"9,003,259,902,000",2000,Enfield,2074.67,938,45212
"9,001,560,602,001",2001,Norwalk,2784.32,2317,83216
"9,015,599,802,003",2003,Plainfield,1339.62,199,14855
"9,005,804,902,003",2003,Watertown,1948.26,427,21917
"9,013,253,601,999",1999,Ellington,758.46,98,12921
"9,001,508,602,005",2005,New Fairfield,,,13917
"9,001,505,802,005",2005,New Canaan,,,19567
"9,009,583,002,003",2003,Oxford,1048.69,112,10680
"9,005,864,402,002",2002,Winchester,1243.04,134,10780
"9,013,253,602,000",2000,Ellington,611.41,79,12921
"9,011,555,002,001",2001,North Stonington,1453.6,73,5022
"9,005,513,502,005",2005,New Hartford,,,6529
"9,009,576,002,003",2003,Orange,2862.45,385,13450
"9,001,730,702,002",2002,Stamford,1791.95,2118,118195
"9,001,238,902,000",2000,Easton,522.55,38,7272
"9,003,870,701,999",1999,Windsor Locks,1411.61,170,12043
"9,003,601,202,002",2002,Plainville,3286.22,572,17406
"9,001,863,702,002",2002,Wilton,750.61,133,17719
"9,013,449,102,002",2002,Mansfield,1037.24,227,21885
"9,015,360,002,002",2002,Hampton,730.75,13,1779
"9,009,520,702,005",2005,New Haven,,,126703
"9,015,218,602,000",2000,Eastford,865.27,14,1618
"9,007,573,202,002",2002,Old Saybrook,2591.37,268,10342
"9,007,208,102,003",2003,Durham,1079.5,74,6855
"9,013,720,902,002",2002,Stafford,968.33,111,11463
"9,005,082,102,000",2000,Bridgewater,548.25,10,1824
"9,007,573,202,003",2003,Old Saybrook,2884.8,298,10330
"9,013,859,502,002",2002,Willington,1355.65,81,5975
"9,003,248,002,000",2000,East Windsor,3554.7,349,9818
"9,009,548,702,001",2001,North Haven,2623.05,607,23141
"9,005,526,302,005",2005,New Milford,,,27632
"9,011,523,502,005",2005,New London,,,26646
"9,009,195,502,003",2003,Derby,3786.67,475,12544
"9,009,622,902,000",2000,Prospect,712.07,62,8707
"9,001,188,502,002",2002,Darien,816.86,162,19832
"9,003,447,002,002",2002,Manchester,3952.02,2191,55440
"9,005,540,302,001",2001,North Canaan,746.94,25,3347
"9,011,562,702,003",2003,Norwich,3700.24,1385,37430
"9,003,521,402,005",2005,Newington,,,29934
"9,011,570,402,003",2003,Old Lyme,1152.04,86,7465
"9,005,659,302,003",2003,Roxbury,1563.94,34,2174
"9,009,445,602,002",2002,Madison,1237.46,222,17940
"9,011,570,402,002",2002,Old Lyme,1208.87,90,7445
"9,003,825,901,999",1999,West Hartford,2755.19,1752,63589
"9,001,529,802,005",2005,Newtown,,,26296
"9,009,538,902,001",2001,North Branford,953,133,13956
"9,001,185,002,002",2002,Danbury,2688.77,2045,76057
"9,003,849,002,002",2002,Wethersfield,2174.57,573,26350
"9,003,870,001,999",1999,Windsor,1841.56,520,28237
"9,001,560,602,003",2003,Norwalk,3441.32,2882,83747
"9,005,534,702,001",2001,Norfolk,420.42,7,1665
"9,007,262,701,999",1999,Essex,845.5,55,6505
"9,011,555,002,003",2003,North Stonington,1357.47,69,5083
"9,007,191,302,003",2003,Deep River,996.53,46,4616
"9,005,795,102,000",2000,Warren,398.72,5,1254
"9,009,548,702,003",2003,North Haven,2372.39,554,23352
"9,011,621,502,000",2000,Preston,789.25,37,4688
"9,005,540,302,005",2005,North Canaan,,,3333
"9,003,653,702,003",2003,Rocky Hill,2158.04,399,18489
"9,015,867,901,999",1999,Windham,778.75,178,22857
"9,001,529,802,001",2001,Newtown,870.12,220,25284
"9,005,534,702,005",2005,Norfolk,,,1685
"9,003,521,402,001",2001,Newington,2249.25,662,29432
"9,007,180,802,002",2002,Cromwell,1908.69,250,13098
"9,013,178,002,002",2002,Coventry,881.09,103,11690
"9,005,540,302,003",2003,North Canaan,1437.13,48,3340
"9,011,716,702,002",2002,Sprague,1311.37,39,2974
"9,009,538,902,005",2005,North Branford,,,14157
"9,011,562,702,002",2002,Norwich,3014.17,1115,36992
"9,005,526,302,001",2001,New Milford,1164.46,317,27223
"9,001,238,902,003",2003,Easton,790.51,58,7337
"9,009,548,702,005",2005,North Haven,,,23564
"9,005,172,402,002",2002,Cornwall,1607.27,23,1431
"9,001,639,702,003",2003,Ridgefield,388.44,93,23942
"9,011,523,502,001",2001,New London,3750.1,970,25866
"9,001,835,002,002",2002,Westport,1974.73,511,25877
"9,011,555,002,005",2005,North Stonington,,,5144
"9,001,560,602,005",2005,Norwalk,,,84277
"9,001,560,602,002",2002,Norwalk,3164.79,2642,83481
"9,005,864,401,999",1999,Winchester,1931.73,206,10664
"9,011,442,102,002",2002,Lyme,907.35,19,2094
"9,009,538,902,003",2003,North Branford,1301.94,183,14056
"9,009,520,702,001",2001,New Haven,6448.76,8012,124241
"9,011,562,702,005",2005,Norwich,,,38305
"9,005,534,702,003",2003,Norfolk,835.82,14,1675
"9,005,513,502,001",2001,New Hartford,1101.04,68,6176
"9,001,634,802,003",2003,Redding,1030.93,88,8536
"9,007,143,001,999",1999,Chester,961.8,36,3743
"9,015,627,102,003",2003,Putnam,828.16,76,9177
"92,002",2002,Connecticut,2725.66,93743,3439271
"9,015,218,602,003",2003,Eastford,1146.65,19,1657
"9,001,863,701,999",1999,Wilton,1026.48,181,17633
"9,007,573,202,005",2005,Old Saybrook,,,10305
"9,011,570,402,005",2005,Old Lyme,,,7505
"9,015,599,802,002",2002,Plainfield,1732.54,256,14776
"9,001,508,602,001",2001,New Fairfield,337.01,47,13946
"9,003,248,002,003",2003,East Windsor,4040.7,413,10221
"9,001,505,802,001",2001,New Canaan,648.52,126,19429
"9,001,529,802,003",2003,Newtown,1151.61,297,25790
"9,007,618,002,000",2000,Portland,1236.83,108,8732
"9,003,521,402,003",2003,Newington,2883.81,856,29683
"9,013,859,501,999",1999,Willington,872.63,52,5959
"9,013,164,002,002",2002,Columbia,965.71,49,5074
"9,009,583,002,002",2002,Oxford,558.07,58,10393
"9,001,681,702,000",2000,Shelton,1556.39,593,38101
"9,001,080,702,000",2000,Bridgeport,4956.68,6916,139529
"9,009,583,002,005",2005,Oxford,,,11252
"9,009,622,902,003",2003,Prospect,998.21,89,8916
"9,003,504,402,001",2001,New Britain,5111.22,3665,71705
"9,005,433,702,002",2002,Litchfield,1054.4,88,8346
"9,003,705,502,002",2002,Southington,2101.69,849,40396
"9,009,576,002,005",2005,Orange,,,13595
"9,005,526,302,003",2003,New Milford,1396.43,383,27427
"9,009,499,502,001",2001,Naugatuck,2078.77,646,31076
"9,003,825,902,003",2003,West Hartford,3384.63,2149,63493
"9,009,696,402,002",2002,Southbury,913.24,172,18834
"9,001,188,502,003",2003,Darien,1143.14,228,19945
"9,001,188,502,000",2000,Darien,1458.66,286,19607
"9,005,494,602,001",2001,Morris,562.77,13,2310
"9,011,523,502,003",2003,New London,4101.92,1077,26256
"9,011,555,002,002",2002,North Stonington,1524.15,77,5052
"9,001,238,901,999",1999,Easton,990.1,72,7272
"9,003,849,001,999",1999,Wethersfield,1739.56,457,26271
"9,001,834,302,002",2002,Weston,735.22,74,10065
"9,011,489,002,001",2001,Montville,1238.67,231,18649
"9,005,160,502,002",2002,Colebrook,339.21,5,1474
"9,003,259,901,999",1999,Enfield,2304.7,1042,45212
"9,005,513,502,003",2003,New Hartford,1180.54,75,6353
"9,005,765,702,003",2003,Torrington,3701.2,1316,35556
"9,009,787,402,000",2000,Wallingford,1852.37,797,43026
"9,009,356,502,002",2002,Hamden,2195,1267,57722
"9,001,508,602,003",2003,New Fairfield,287.13,40,13931
"9,005,607,502,005",2005,Plymouth,,,11939
"9,009,576,002,002",2002,Orange,1480.04,198,13378
"9,011,159,102,002",2002,Colchester,1171.4,174,14854
"9,011,432,302,002",2002,Lisbon,1843.32,76,4123
"9,011,234,002,003",2003,East Lyme,1014.65,187,18430
"9,001,835,001,999",1999,Westport,2233.1,575,25749
"9,007,816,802,002",2002,Westbrook,1277.06,82,6421
"9,007,153,502,002",2002,Clinton,2110.15,277,13127
"9,003,713,902,002",2002,South Windsor,887.68,219,24671
"9,009,073,102,000",2000,Branford,2649.65,760,28683
"9,001,185,002,003",2003,Danbury,2524.07,1935,76662
"9,015,599,802,005",2005,Plainfield,,,15012
"9,011,621,502,003",2003,Preston,957.65,45,4699
"9,005,795,102,003",2003,Warren,379.94,5,1316
"9,001,486,202,001",2001,Monroe,1333.68,257,19270
"9,001,834,301,999",1999,Weston,866.79,87,10037
"9,003,504,402,003",2003,New Britain,4828.01,3478,72038
"9,001,505,802,003",2003,New Canaan,589.8,115,19498
"9,009,828,702,002",2002,West Haven,3530.12,1871,53001
"9,009,475,352,001",2001,Milford,3828.08,2004,52350
"9,015,610,302,005",2005,Pomfret,,,4023
"9,007,618,002,005",2005,Portland,,,9120
"9,007,143,002,002",2002,Chester,1080.94,41,3793
"9,009,499,502,003",2003,Naugatuck,2015.94,630,31251
"9,009,520,702,003",2003,New Haven,7192.84,9025,125472
"9,009,229,102,003",2003,East Haven,2507.98,715,28509
"9,009,622,902,005",2005,Prospect,,,9056
"9,007,473,602,001",2001,Middletown,2694.03,1175,43615
"9,009,141,602,002",2002,Cheshire,1185.21,340,28687
"9,015,627,102,005",2005,Putnam,,,9293
"9,003,601,202,005",2005,Plainville,,,17522
"9,005,494,602,003",2003,Morris,988.4,23,2327
"9,011,621,502,005",2005,Preston,,,4707
"9,007,816,801,999",1999,Westbrook,2256.83,142,6292
"9,007,470,802,001",2001,Middlefield,1680.47,71,4225
"9,001,634,802,005",2005,Redding,,,8714
"9,015,138,102,002",2002,Chaplin,1238.39,28,2261
"9,013,692,202,002",2002,Somers,593.11,63,10622
"9,009,548,702,002",2002,North Haven,2030.37,472,23247
"9,011,489,002,003",2003,Montville,1028.96,194,18854
"9,001,529,802,000",2000,Newtown,922.86,231,25031
"9,009,828,701,999",1999,West Haven,3844.54,2013,52360
"9,009,469,402,001",2001,Middlebury,1340.85,88,6563
"9,001,639,702,005",2005,Ridgefield,,,24141
"9,003,689,402,002",2002,Simsbury,901.71,210,23289
"9,011,426,002,002",2002,Ledyard,941.73,139,14760
"9,005,540,302,002",2002,North Canaan,927.31,31,3343
"9,001,486,202,003",2003,Monroe,1325.26,256,19317
"9,003,653,702,005",2005,Rocky Hill,,,18838
"9,007,180,802,003",2003,Cromwell,2808.27,371,13211
"9,009,465,202,001",2001,Meriden,3808.16,2228,58506
"9,007,153,501,998",1998,Clinton,1985.64,260,13094
"9,013,253,602,007",2007,Ellington,1020.41,151,14798
"9,015,121,302,004",2004,Canterbury,801.15,39,4868
"9,003,059,101,999",1999,Bloomfield,2384.23,467,19587
"9,001,741,901,998",1998,Stratford,2931.41,1465,49976
"9,003,259,902,007",2007,Enfield,2224.4,997,44821
"9,001,683,101,999",1999,Sherman,731.64,28,3827
"9,003,458,202,001",2001,Marlborough,951.72,55,5779
"9,011,159,101,998",1998,Colchester,1044.6,152,14551
"9,011,662,102,005",2005,Salem,,,4005
"9,005,659,302,005",2005,Roxbury,,,2199
"9,009,538,902,002",2002,North Branford,842.5,118,14006
"9,003,745,401,998",1998,Suffield,922.37,125,13552
"9,013,449,102,001",2001,Mansfield,1220.54,260,21302
"9,007,262,702,007",2007,Essex,1221.72,81,6630
"9,013,178,002,003",2003,Coventry,1748.28,206,11783
"9,011,621,501,999",1999,Preston,917.24,43,4688
"9,005,757,301,998",1998,Thomaston,2039.18,153,7503
"9,007,143,002,003",2003,Chester,707.18,27,3818
"9,005,534,702,000",2000,Norfolk,963.86,16,1660
"9,001,730,702,003",2003,Stamford,2094.3,2487,118751
"9,003,745,402,000",2000,Suffield,1003.54,136,13552
"9,005,160,501,998",1998,Colebrook,883.75,13,1471
"9,001,681,701,999",1999,Shelton,1527.52,582,38101
"9,005,534,702,002",2002,Norfolk,479.04,8,1670
"9,009,141,602,004",2004,Cheshire,1099.55,317,28830
"9,015,138,102,004",2004,Chaplin,968.31,22,2272
"9,015,674,002,005",2005,Scotland,,,1641
"9,005,664,202,005",2005,Salisbury,,,3859
"9,015,758,701,998",1998,Thompson,946.16,84,8878
"9,003,122,702,004",2004,Canton,1369.28,129,9421
"9,009,229,102,000",2000,East Haven,2387.46,673,28189
"9,009,012,202,010",2010,Ansonia,1698.79,327,19249
"9,013,164,001,998",1998,Columbia,1589.22,79,4971
"9,005,679,601,999",1999,Sharon,1145.55,34,2968
"9,009,676,102,005",2005,Seymour,,,15997
"9,011,299,102,007",2007,Franklin,1582.28,30,1896
"9,007,143,002,004",2004,Chester,364.3,14,3843
"9,013,762,901,998",1998,Tolland,532.48,70,13146
"9,013,010,802,010",2010,Andover,1029.37,34,3303
"9,001,266,202,007",2007,Fairfield,1679,987,58785
"9,007,153,502,004",2004,Clinton,2082.07,274,13160
"91,998",1998,Connecticut,3288.18,111981,3405565
"9,009,141,601,999",1999,Cheshire,1313.81,375,28543
"9,003,447,002,001",2001,Manchester,3940.82,2171,55090
"9,007,618,001,999",1999,Portland,1213.93,106,8732
"9,009,445,602,001",2001,Madison,832.45,149,17899
"9,005,765,701,998",1998,Torrington,1837.96,647,35202
"9,003,276,002,007",2007,Farmington,2545.31,632,24830
"9,005,049,301,999",1999,Bethlehem,701.34,24,3422
"9,001,681,702,005",2005,Shelton,,,38830
"9,005,172,401,998",1998,Cornwall,3486.75,50,1434
"9,005,322,902,007",2007,Goshen,1071.92,31,2892
"9,011,159,102,004",2004,Colchester,1108.33,168,15158
"9,015,610,301,999",1999,Pomfret,368.62,14,3798
"9,015,014,302,010",2010,Ashford,718.09,31,4317
"9,005,433,702,001",2001,Litchfield,1068.3,89,8331
"9,011,442,102,001",2001,Lyme,1021.9,21,2055
"9,001,772,001,998",1998,Trumbull,3320.39,1137,34243
"9,009,141,602,003",2003,Cheshire,1241.39,357,28758
"9,005,027,602,010",2010,Barkhamsted,500.13,19,3799
"9,003,326,402,007",2007,Granby,1163.42,128,11002
"9,013,178,001,998",1998,Coventry,1147.43,132,11504
"9,009,676,101,999",1999,Seymour,1475.35,228,15454
"9,005,679,602,005",2005,Sharon,,,2875
"9,003,122,702,000",2000,Canton,1414.03,125,8840
"9,003,312,402,007",2007,Glastonbury,1185.31,399,33662
"9,011,432,302,001",2001,Lisbon,1513.67,62,4096
"9,005,160,502,004",2004,Colebrook,541.64,8,1477
"9,001,529,802,002",2002,Newtown,1053.37,269,25537
"9,005,172,402,003",2003,Cornwall,2167.83,31,1430
"9,005,607,501,999",1999,Plymouth,1727.69,201,11634
"9,013,164,002,004",2004,Columbia,734.02,38,5177
"9,013,778,301,998",1998,Union,1443,10,693
"9,001,336,202,007",2007,Greenwich,770.24,471,61150
"9,011,426,002,001",2001,Ledyard,842.22,124,14723
"9,003,521,402,002",2002,Newington,2425.82,717,29557
"9,007,180,801,998",1998,Cromwell,2392.98,308,12871
"9,013,782,501,998",1998,Vernon,2152.3,604,28063
"92,004",2004,Connecticut,2712.28,94197,3472978
"9,001,683,102,005",2005,Sherman,,,3704
"9,001,185,001,998",1998,Danbury,2953.99,2211,74848
"9,011,662,102,000",2000,Salem,1140.49,44,3858
"9,001,639,702,000",2000,Ridgefield,456.79,108,23643
"9,003,601,201,999",1999,Plainville,3168.28,549,17328
"9,013,692,202,005",2005,Somers,,,10931
"9,005,526,302,002",2002,New Milford,1500.46,410,27325
"9,015,758,702,000",2000,Thompson,867.31,77,8878
"9,011,786,001,998",1998,Voluntown,949.37,24,2528
"9,003,713,902,005",2005,South Windsor,,,25061
"9,011,342,502,007",2007,Groton,2029.81,813,40053
"9,007,473,602,003",2003,Middletown,3068.9,1366,44511
"9,001,188,501,998",1998,Darien,1667.77,327,19607
"9,007,407,102,001",2001,Killingworth,626.13,38,6069
"9,003,020,602,010",2010,Avon,1027.74,186,18098
"9,009,349,502,007",2007,Guilford,1589.53,351,22082
"9,013,178,002,004",2004,Coventry,1119.91,133,11876
"9,009,696,402,005",2005,Southbury,,,19236
"9,015,674,001,999",1999,Scotland,642.67,10,1556
"9,015,138,102,003",2003,Chaplin,1102.78,25,2267
"9,007,180,802,004",2004,Cromwell,2378.99,317,13325
"9,003,122,702,003",2003,Canton,1509.27,140,9276
"9,009,787,401,998",1998,Wallingford,2603.08,1120,43026
"9,003,689,402,005",2005,Simsbury,,,23373
"9,003,226,302,000",2000,East Hartford,4020.17,1993,49575
"9,003,705,502,005",2005,Southington,,,41399
"9,015,405,002,001",2001,Killingly,1690.62,280,16562
"9,007,191,301,998",1998,Deep River,2039.05,94,4610
"9,005,795,101,998",1998,Warren,1196.17,15,1254
"9,011,716,702,005",2005,Sprague,,,2978
"9,011,423,902,001",2001,Lebanon,777.31,54,6947
"9,015,599,801,999",1999,Plainfield,2277.86,333,14619
"9,009,195,501,998",1998,Derby,3575.18,443,12391
"9,011,339,002,007",2007,Griswold,870.09,101,11608
"9,005,049,302,010",2010,Bethlehem,554.48,20,3607
"9,003,825,902,000",2000,West Hartford,3129.47,1990,63589
"9,009,356,502,007",2007,Hamden,2349.95,1404,59746
"9,003,312,402,000",2000,Glastonbury,1455.64,464,31876
"9,001,185,002,004",2004,Danbury,2404.68,1858,77266
"9,005,402,902,001",2001,Kent,1045.3,30,2870
"9,003,043,002,010",2010,Berlin,1726.57,343,19866
"9,015,138,101,999",1999,Chaplin,1066.67,24,2250
"9,001,188,502,004",2004,Darien,1076.93,216,20057
"9,005,664,201,999",1999,Salisbury,1056.07,42,3977
"9,001,741,902,000",2000,Stratford,2943.41,1471,49976
"9,007,352,302,007",2007,Haddam,675.93,54,7989
"9,007,191,302,004",2004,Deep River,649.63,30,4618
"9,005,172,402,004",2004,Cornwall,1750.7,25,1428
"9,001,730,702,005",2005,Stamford,,,119863
"9,005,797,201,998",1998,Washington,1056.73,38,3596
"9,003,220,701,998",1998,East Granby,927.29,44,4745
"9,015,360,002,007",2007,Hampton,327.51,6,1832
"9,013,379,102,001",2001,Hebron,585,51,8718
"9,013,062,602,010",2010,Bolton,722.89,36,4980
"9,003,122,701,999",1999,Canton,1199.1,106,8840
"9,009,800,701,998",1998,Waterbury,5978.32,6413,107271
"9,007,208,101,998",1998,Durham,1373.17,91,6627
"9,015,734,202,005",2005,Sterling,,,3465
"9,001,047,202,010",2010,Bethel,1060.05,197,18584
"9,003,371,402,007",2007,Hartland,336.05,7,2083
"9,009,583,001,999",1999,Oxford,875.67,86,9821
"9,007,222,801,998",1998,East Haddam,936.04,78,8333
"9,013,720,902,005",2005,Stafford,,,11697
"9,005,372,802,001",2001,Harwinton,601.62,32,5319
"9,011,802,801,998",1998,Waterford,3874.27,742,19152
"9,015,121,301,999",1999,Canterbury,745.95,35,4692
"9,003,059,102,010",2010,Bloomfield,2679.88,549,20486
"9,009,576,001,999",1999,Orange,3990.02,528,13233
"9,007,208,102,004",2004,Durham,851.25,59,6931
"9,011,737,702,005",2005,Stonington,,,18226
"9,007,224,901,998",1998,East Hampton,1250.75,167,13352
"9,005,372,802,007",2007,Harwinton,614.38,34,5534
"9,003,220,702,004",2004,East Granby,774.56,38,4906
"9,011,523,502,002",2002,New London,4021.33,1048,26061
"9,005,804,901,998",1998,Watertown,1795.85,389,21661
"9,005,109,401,999",1999,Canaan,1480.11,16,1081
"9,009,195,502,004",2004,Derby,3699.88,466,12595
"9,007,573,201,999",1999,Old Saybrook,1784.51,185,10367
"9,001,741,902,005",2005,Stratford,,,50680
"9,007,224,902,000",2000,East Hampton,838.83,112,13352
"9,003,226,301,998",1998,East Hartford,4346.95,2155,49575
"92,003",2003,Connecticut,3112.76,107581,3456125
"9,009,032,502,010",2010,Beacon Falls,1471.32,89,6049
"9,005,402,902,007",2007,Kent,849.47,25,2943
"9,003,825,901,998",1998,West Hartford,3121.61,1985,63589
"9,009,520,702,002",2002,New Haven,6167.86,7701,124857
"9,003,745,402,005",2005,Suffield,,,14644
"9,011,662,101,999",1999,Salem,1296.01,50,3858
"9,007,224,902,004",2004,East Hampton,788.18,104,13195
"9,003,101,001,999",1999,Burlington,598.29,49,8190
"9,009,229,101,998",1998,East Haven,2965.7,836,28189
"9,003,370,702,001",2001,Hartford,7544.01,9196,121898
"9,005,804,902,000",2000,Watertown,2119.02,459,21661
"9,003,370,702,007",2007,Hartford,5819.93,7206,123816
"9,009,828,701,998",1998,West Haven,4356.38,2281,52360
"9,013,720,902,003",2003,Stafford,736.5,85,11541
"9,003,371,402,001",2001,Hartland,346.19,7,2022
"9,005,659,301,999",1999,Roxbury,1638.58,35,2136
"9,015,758,702,005",2005,Thompson,,,9168
"9,005,757,302,005",2005,Thomaston,,,7695
"9,011,570,401,999",1999,Old Lyme,1822.85,135,7406
"9,005,659,302,000",2000,Roxbury,936.33,20,2136
"9,015,360,002,001",2001,Hampton,960.99,17,1769
"9,013,379,102,007",2007,Hebron,309.73,29,9363
"9,011,234,001,998",1998,East Lyme,1015.56,184,18118
"9,009,229,102,004",2004,East Haven,2075.76,594,28616
"9,003,226,302,004",2004,East Hartford,3669.94,1844,50246
"9,013,762,902,005",2005,Tolland,,,14099
"9,007,222,802,004",2004,East Haddam,439.31,38,8650
"9,011,423,902,007",2007,Lebanon,779.08,56,7188
"9,007,816,801,998",1998,Westbrook,2034.33,128,6292
"9,003,248,001,998",1998,East Windsor,3361.17,330,9818
"9,009,045,802,010",2010,Bethany,737.01,41,5563
"9,005,513,502,002",2002,New Hartford,782.25,49,6264
"9,015,405,002,007",2007,Killingly,959.01,164,17101
"9,003,653,701,999",1999,Rocky Hill,1825.67,328,17966
"9,013,164,002,003",2003,Columbia,1209.76,62,5125
"9,005,765,702,005",2005,Torrington,,,35793
"9,009,356,502,001",2001,Hamden,2618.72,1501,57318
"9,011,426,002,007",2007,Ledyard,742.87,111,14942
"9,011,234,002,004",2004,East Lyme,901.05,167,18534
"9,011,068,202,010",2010,Bozrah,1103.92,29,2627
"9,005,757,302,000",2000,Thomaston,1386.11,104,7503
"9,007,407,102,007",2007,Killingworth,360.9,23,6373
"9,003,248,002,004",2004,East Windsor,3244.5,336,10356
"9,015,091,901,999",1999,Brooklyn,1171.06,84,7173
"9,015,218,601,998",1998,Eastford,679.85,11,1618
"9,007,352,302,001",2001,Haddam,1030.79,75,7276
"9,001,080,702,010",2010,Bridgeport,3246.92,4683,144229
"9,001,639,701,999",1999,Ridgefield,528.7,125,23643
"9,015,121,302,003",2003,Canterbury,1140.13,55,4824
"9,001,047,201,999",1999,Bethel,1051.64,190,18067
"9,001,238,901,998",1998,Easton,866.34,63,7272
"9,005,160,502,003",2003,Colebrook,406.78,6,1475
"9,001,772,002,005",2005,Trumbull,,,35131
"9,011,716,702,003",2003,Sprague,1478.99,44,2975
"9,011,802,802,000",2000,Waterford,3634.09,696,19152
"9,009,349,502,001",2001,Guilford,1567.73,337,21496
"9,013,778,302,005",2005,Union,,,774
"9,005,433,702,007",2007,Litchfield,1258.76,106,8421
"9,011,562,701,999",1999,Norwich,3034.58,1096,36117
"9,015,218,602,004",2004,Eastford,419.16,7,1670
"9,013,253,601,998",1998,Ellington,572.71,74,12921
"9,015,091,902,010",2010,Brooklyn,962.24,79,8210
"9,001,634,801,999",1999,Redding,616.69,51,8270
"9,001,238,902,004",2004,Easton,339.72,25,7359
"9,001,089,801,999",1999,Brookfield,1046.99,164,15664
"9,013,782,502,005",2005,Vernon,,,28621
"9,011,159,102,003",2003,Colchester,826.34,124,15006
"9,011,442,102,007",2007,Lyme,699,16,2289
"9,005,322,902,000",2000,Goshen,889.88,24,2697
"9,011,342,502,001",2001,Groton,2336.71,933,39928
"9,011,786,002,005",2005,Voluntown,,,2566
"9,009,073,102,010",2010,Branford,2886.61,809,28026
"9,003,259,901,998",1998,Enfield,2302.49,1041,45212
"9,013,253,602,004",2004,Ellington,328.74,46,13993
"9,009,800,702,000",2000,Waterbury,6001.62,6438,107271
"9,011,432,302,007",2007,Lisbon,2466.53,105,4257
"9,003,084,901,999",1999,Bristol,2134.46,1282,60062
"9,009,445,602,007",2007,Madison,980.93,178,18146
"9,003,259,902,004",2004,Enfield,2127.19,957,44989
"9,011,339,002,001",2001,Griswold,1071.33,117,10921
"9,011,737,702,000",2000,Stonington,2239.47,401,17906
"9,007,470,802,003",2003,Middlefield,1709.6,73,4270
"9,015,138,102,010",2010,Chaplin,997.83,23,2305
"9,007,262,701,998",1998,Essex,799.39,52,6505
"9,009,787,402,005",2005,Wallingford,,,44081
"9,015,627,101,999",1999,Putnam,788.71,71,9002
"9,007,153,502,003",2003,Clinton,2335.67,307,13144
"9,005,082,101,999",1999,Bridgewater,1041.67,19,1824
"9,005,795,102,005",2005,Warren,,,1358
"9,005,082,102,010",2010,Bridgewater,868.56,15,1727
"9,001,560,601,999",1999,Norwalk,4034.91,3347,82951
"9,007,262,702,004",2004,Essex,501.82,33,6576
"9,007,143,002,010",2010,Chester,1051.58,42,3994
"9,001,266,201,998",1998,Fairfield,3442.62,1974,57340
"9,001,336,202,001",2001,Greenwich,1206.06,737,61108
"9,001,266,202,004",2004,Fairfield,2240.14,1303,58166
"9,005,797,202,005",2005,Washington,,,3587
"9,003,084,902,010",2010,Bristol,2207.45,1335,60477
"9,003,326,402,001",2001,Granby,1149.32,120,10441
"9,013,449,102,007",2007,Mansfield,729.96,181,24796
"9,009,622,901,999",1999,Prospect,654.65,57,8707
"9,003,101,002,010",2010,Burlington,634.34,59,9301
"9,001,080,701,999",1999,Bridgeport,4633.45,6465,139529
"9,003,276,001,998",1998,Farmington,3570.07,844,23641
"9,001,508,602,002",2002,New Fairfield,538.06,75,13939
"9,001,089,802,010",2010,Brookfield,875.27,144,16452
"9,009,465,202,007",2007,Meriden,3483.63,2093,60081
"9,003,653,702,000",2000,Rocky Hill,2231.99,401,17966
"9,009,073,101,999",1999,Branford,2911.13,835,28683
"9,009,800,702,005",2005,Waterbury,,,108819
"9,005,322,902,001",2001,Goshen,880.73,24,2725
"9,011,299,102,004",2004,Franklin,1550.8,29,1870
"9,003,276,002,004",2004,Farmington,2948.07,717,24321
"9,011,299,101,998",1998,Franklin,2288.83,42,1835
"9,009,141,602,010",2010,Cheshire,1107.28,324,29261
"9,009,469,402,007",2007,Middlebury,953.3,69,7238
