"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,005,664,202,001",2001,Salisbury,,,
"9,013,010,802,005",2005,Andover,,,
"9,003,825,902,001",2001,West Hartford,,,
"9,001,634,802,006",2006,Redding,2640.26,32,1212
"9,013,449,102,009",2009,Mansfield,4119.85,55,1335
"9,009,800,702,002",2002,Waterbury,,,
"9,003,745,401,999",1999,Suffield,,,
"9,001,772,001,998",1998,Trumbull,,,
"9,011,423,902,008",2008,Lebanon,748.66,7,935
"92,010",2010,Connecticut,4032.49,15821,392338
"9,011,299,101,999",1999,Franklin,,,
"9,009,012,202,005",2005,Ansonia,,,
"9,009,828,702,001",2001,West Haven,,,
"9,011,786,002,000",2000,Voluntown,,,
"9,013,778,301,998",1998,Union,,,
"9,011,802,802,002",2002,Waterford,,,
"9,009,469,402,009",2009,Middlebury,645.16,6,930
"9,001,080,702,004",2004,Bridgeport,8872.84,1450,16342
"9,015,758,701,999",1999,Thompson,,,
"9,005,659,302,006",2006,Roxbury,0,0,251
"9,005,804,902,002",2002,Watertown,,,
"9,015,014,302,005",2005,Ashford,,,
"9,007,816,802,001",2001,Westbrook,,,
"9,005,795,102,000",2000,Warren,,,
"9,015,881,902,005",2005,Woodstock,,,
"9,003,020,602,005",2005,Avon,,,
"9,013,782,501,998",1998,Vernon,,,
"9,003,084,902,004",2004,Bristol,5142.76,317,6164
"9,005,433,702,008",2008,Litchfield,8673.47,85,980
"9,001,238,902,002",2002,Easton,,,
"9,005,322,901,999",1999,Goshen,,,
"9,011,662,102,006",2006,Salem,1263.54,7,554
"9,001,834,302,001",2001,Weston,,,
"9,005,664,202,006",2006,Salisbury,246.91,1,405
"9,011,662,102,007",2007,Salem,536.67,3,559
"9,013,762,901,999",1999,Tolland,,,
"9,011,716,702,001",2001,Sprague,,,
"9,001,089,802,004",2004,Brookfield,1759.53,36,2046
"9,011,786,001,998",1998,Voluntown,,,
"9,009,877,002,005",2005,Woodbridge,,,
"9,009,828,702,002",2002,West Haven,,,
"9,003,825,902,002",2002,West Hartford,,,
"9,005,765,701,999",1999,Torrington,,,
"9,009,676,102,006",2006,Seymour,6659.01,116,1742
"9,009,073,102,004",2004,Branford,4099.29,109,2659
"9,015,360,002,003",2003,Hampton,1421.8,3,211
"9,005,797,202,008",2008,Washington,3957.78,15,379
"9,001,835,002,001",2001,Westport,,,
"9,005,027,602,005",2005,Barkhamsted,,,
"9,013,010,802,006",2006,Andover,973.24,4,411
"9,009,787,401,998",1998,Wallingford,,,
"9,003,043,002,005",2005,Berlin,,,
"9,003,849,002,001",2001,Wethersfield,,,
"9,015,091,902,004",2004,Brooklyn,2826.86,24,849
"9,001,772,001,999",1999,Trumbull,,,
"9,007,816,802,002",2002,Westbrook,,,
"9,009,032,502,000",2000,Beacon Falls,,,
"9,003,101,002,004",2004,Burlington,1740.64,20,1149
"9,013,449,102,008",2008,Mansfield,4932.74,66,1338
"9,007,473,602,009",2009,Middletown,3082.61,125,4055
"9,009,676,102,001",2001,Seymour,,,
"9,009,045,802,005",2005,Bethany,,,
"9,001,863,702,001",2001,Wilton,,,
"9,001,639,702,006",2006,Ridgefield,946.55,34,3592
"9,001,486,202,009",2009,Monroe,142.86,4,2800
"9,001,835,002,002",2002,Westport,,,
"9,013,782,501,999",1999,Vernon,,,
"9,005,795,101,998",1998,Warren,,,
"9,015,674,002,007",2007,Scotland,2369.67,5,211
"9,015,674,002,006",2006,Scotland,0,0,211
"9,015,734,202,001",2001,Sterling,,,
"9,001,047,202,005",2005,Bethel,,,
"9,005,864,402,001",2001,Winchester,,,
"9,015,121,302,004",2004,Canterbury,2090.03,13,622
"9,005,797,201,998",1998,Washington,,,
"9,003,849,002,002",2002,Wethersfield,,,
"9,003,504,402,009",2009,New Britain,8352.39,621,7435
"9,009,045,802,000",2000,Bethany,,,
"9,011,786,001,999",1999,Voluntown,,,
"9,005,402,902,003",2003,Kent,2238.81,6,268
"9,013,859,502,002",2002,Willington,,,
"9,003,059,102,005",2005,Bloomfield,,,
"9,015,867,902,001",2001,Windham,,,
"9,011,299,102,002",2002,Franklin,,,
"9,003,653,702,006",2006,Rocky Hill,2364.48,41,1734
"9,013,062,602,005",2005,Bolton,,,
"9,009,800,701,998",1998,Waterbury,,,
"9,009,141,602,004",2004,Cheshire,2532.68,93,3672
"9,005,049,302,000",2000,Bethlehem,,,
