"CT County Subdivisions,Year",Year,Town,Total violent crime Rate,"Crime, Total violent crime, Number","Total estimated population, Number"
"9,001,772,002,006",2006,Trumbull,36.82,13,35308
"9,011,570,401,998",1998,Old Lyme,202.54,15,7406
"9,013,782,502,010",2010,Vernon,95.96,28,29179
"9,009,073,102,005",2005,Branford,,,28355
"9,003,043,002,008",2008,Berlin,107.49,21,19536
"9,009,576,002,010",2010,Orange,57.32,8,13956
"9,013,062,601,999",1999,Bolton,79.73,4,5017
"9,009,045,802,008",2008,Bethany,18.32,1,5458
"9,013,782,502,006",2006,Vernon,191.42,55,28733
"9,011,489,002,000",2000,Montville,285.78,53,18546
"9,005,494,602,000",2000,Morris,130.38,3,2301
"9,007,573,201,998",1998,Old Saybrook,28.94,3,10367
"9,001,529,802,010",2010,Newtown,58.06,16,27560
"9,009,583,002,010",2010,Oxford,31.54,4,12683
"9,013,379,102,002",2002,Hebron,79.32,7,8825
"9,001,080,702,005",2005,Bridgeport,,,141879
"9,001,266,202,002",2002,Fairfield,43.29,25,57753
"9,003,326,401,999",1999,Granby,19.33,2,10347
"9,011,432,302,009",2009,Lisbon,46.39,2,4311
"9,005,082,102,005",2005,Bridgewater,,,1776
"9,011,786,002,006",2006,Voluntown,155.46,4,2573
"9,009,576,001,998",1998,Orange,105.8,14,13233
"9,011,426,002,009",2009,Ledyard,86.58,13,15015
"9,005,049,302,008",2008,Bethlehem,56.02,2,3570
"9,009,787,402,006",2006,Wallingford,81.28,36,44291
"9,001,486,202,000",2000,Monroe,10.39,2,19247
"9,001,047,202,008",2008,Bethel,21.64,4,18481
"9,005,433,702,009",2009,Litchfield,118.33,10,8451
"9,003,084,902,005",2005,Bristol,,,60270
"9,009,538,902,010",2010,North Branford,55.53,8,14407
"9,015,360,002,003",2003,Hampton,55.87,1,1790
"9,011,442,102,009",2009,Lyme,0,0,2367
"9,009,583,001,998",1998,Oxford,193.46,19,9821
"9,003,059,102,008",2008,Bloomfield,167.44,34,20306
"9,005,795,102,006",2006,Warren,72.57,1,1378
"9,009,445,602,009",2009,Madison,32.92,6,18228
"9,009,475,352,000",2000,Milford,95.59,50,52305
"9,001,089,802,005",2005,Brookfield,,,16058
"9,001,508,602,010",2010,New Fairfield,14.41,2,13881
"9,005,607,502,010",2010,Plymouth,114.35,14,12243
"9,003,601,202,010",2010,Plainville,304.81,54,17716
"9,007,153,501,999",1999,Clinton,114.56,15,13094
"9,013,062,602,008",2008,Bolton,40.1,2,4987
"9,015,599,801,998",1998,Plainfield,143.65,21,14619
"9,009,465,202,002",2002,Meriden,226.31,133,58769
"9,011,786,002,010",2010,Voluntown,153.67,4,2603
"9,015,091,902,005",2005,Brooklyn,,,7692
"9,007,473,602,000",2000,Middletown,113.51,49,43167
"9,015,610,302,010",2010,Pomfret,141.28,6,4247
"9,003,447,002,009",2009,Manchester,266.02,154,57891
"9,011,068,202,008",2008,Bozrah,0,0,2573
"9,009,800,702,010",2010,Waterbury,331.62,366,110366
"9,005,797,202,006",2006,Washington,27.89,1,3585
"9,015,599,802,010",2010,Plainfield,51.93,8,15405
"9,009,787,402,010",2010,Wallingford,68.68,31,45135
